Campus,Semester Key,Semester,Level,Course Name,Course Number,Course Description,Credits,Grade,WI,E,O,H,Foun.,Div.,NI,UD,Area,Area2,Area3,Area4,Area5,Attempted Credits,GPR Credits,Earned Credits,Quality Points,Repeats,College,Instructor,Banner Comments,Academic Pathway Comments,Transfer Institution,Transfer Course Name,Transfer Course Number, Transfer Course Description,Transfer Credits,Transfer Grade,Transfer Accept
"Manoa","201730","Spring 2017","UG","HIST","420","The People's Republic of Chin","3","***","WI"," ","O"," "," ","DH","NI","UD","","","","","","0","0","0","0"," ","Colleges of Arts & Sciences","Brown Shana"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201730","Spring 2017","UG","ICS","455","Security and Trust II","3","***"," "," "," "," "," "," ","NI","UD","","ICS ELEC( 2015-BA)","","","","0","0","0","0"," ","Colleges of Arts & Sciences","Seidel Peter-Michael"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201730","Spring 2017","UG","PHYS","152","College Physics","3","***"," "," "," "," "," ","DP"," "," ","","","","","","0","0","0","0"," ","Colleges of Arts & Sciences","Slovak Mark"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201730","Spring 2017","UG","ICS","212","Program Structure","3","***"," "," "," "," "," "," ","NI"," ","","ICS CORE-ICS 212( 2015-BA)","","","","0","0","0","0"," ","Colleges of Arts & Sciences","Narayan Ravi"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201730","Spring 2017","UG","ICS","332","Operating Systems","3","***"," "," "," "," "," "," ","NI","UD","","ICS CORE-ICS 332( 2015-BA)","","","","0","0","0","0"," ","Colleges of Arts & Sciences","Chastel Serge"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201730","Spring 2017","UG","PHYS","152L","College Physics Laboratory II","1","***"," "," "," "," "," ","DY"," "," ","","","","","","0","0","0","0"," ","Colleges of Arts & Sciences","Von Doetinchem Philip"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201710","Fall 2016","UG","BIOL","123","Hawaiian Environmental Science","3","A-"," "," "," "," "," ","DB"," "," ","DB-DIV-BIOL SCI( 2015-BA)","","","","","3.00","3.00","3.00","11.1000"," ","Colleges of Arts & Sciences","Merlin Mark"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201710","Fall 2016","UG","ICS","212","Program Structure","0","W"," "," "," "," "," "," "," "," ","Not-used","Not-used","Not-used","Not-used","Not-used","0.00","0.00","0.00","0.0000"," ","Colleges of Arts & Sciences","Narayan Ravi"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201710","Fall 2016","UG","ICS","355","Security and Trust I","3","A-"," "," "," "," "," "," ","NI","UD","","","","","","3.00","3.00","3.00","11.1000"," ","Colleges of Arts & Sciences","Seidel Peter-Michael"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201710","Fall 2016","UG","ENG","382","Gender, Sexuality & Literature","3","B","WI","E"," "," "," ","DL","NI","UD","DL-DIV LIT( 2015-BA)","","","","","3.00","3.00","3.00","9.0000"," ","Colleges of Arts & Sciences","Franklin Cynthia"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201710","Fall 2016","UG","ICS","314","Software Engineering I","3","A","WI"," "," "," "," "," ","NI","UD","","","","","","3.00","3.00","3.00","12.0000"," ","Colleges of Arts & Sciences","Johnson Philip"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201630","Spring 2016","UG","ICS","311","Algorithms","4","A-"," "," "," "," "," "," ","NI","UD","","ICS CORE-ICS 311( 2015-BA)","","","","4.00","4.00","4.00","14.8000"," ","Colleges of Arts & Sciences","Suthers Daniel"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201630","Spring 2016","UG","CHN","402","Fourth-Level Mandarin","4","A-"," "," "," "," "," "," ","NI","UD","","","","","","4.00","4.00","4.00","14.8000"," ","Colleges of Arts & Sciences","Wang Haidan"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201630","Spring 2016","UG","LLEA","151","World Myth to 1500 C.E.","3","B+"," "," "," "," ","FGA"," "," "," ","FGA-GLOBAL( 2015-BA)","","","","","3.00","3.00","3.00","9.9000"," ","Colleges of Arts & Sciences","Harris-McCoy Daniel"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201630","Spring 2016","UG","ICS","321","Data Storage & Retrieval","3","A-"," "," "," "," "," "," ","NI","UD","","ICS CORE-ICS 321( 2015-BA)","","","","3.00","3.00","3.00","11.1000"," ","Colleges of Arts & Sciences","Halverson Richard","I/MakeUp 05/26/16, Incomplete Make-up Grade","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201610","Fall 2015","UG","CHN","401","Fourth-Level Mandarin","4","A"," "," "," "," "," "," ","NI","UD","","","","","","4.00","4.00","4.00","16.0000"," ","Colleges of Arts & Sciences","Wang Haidan"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201610","Fall 2015","UG","ICS","211","Intro to Computer Science II","4","A"," "," "," "," "," "," ","NI"," ","","ICS CORE-ICS 211( 2015-BA)","","","","4.00","4.00","4.00","16.0000"," ","Colleges of Arts & Sciences","Robertson Scott"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201610","Fall 2015","UG","ICS","241","Discrete Mathematics II","3","C"," "," "," "," ","FS"," ","NI"," ","","ICS CORE-ICS 241( 2015-BA)","","","","3.00","3.00","3.00","6.0000"," ","Colleges of Arts & Sciences","Sugihara Kazuo"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201610","Fall 2015","UG","GEOG","102","World Regional Geography","3","A"," "," "," "," ","FGB"," "," "," ","FGB-GLOBAL( 2015-BA)","","","","","3.00","3.00","3.00","12.0000"," ","Colleges of Arts & Sciences","Mostafanezhad Mary"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201530","Spring 2015","UG","ICS","141","Discrete Math for CS I","3","C"," "," "," "," ","FS"," "," "," ","","ICS CORE-ICS 141( 2015-BA)","","","","3.00","3.00","3.00","6.0000"," ","Colleges of Arts & Sciences","Sugihara Kazuo"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201530","Spring 2015","UG","ICS","111","Intro to Computer Science I","4","A"," "," "," "," "," "," "," "," ","","ICS CORE-ICS 111( 2015-BA)","","","","4.00","4.00","4.00","16.0000"," ","Colleges of Arts & Sciences","Leigh Jason"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201530","Spring 2015","UG","HWST","107A","Hawaii: Center of the Pacific","3","A+"," "," "," ","H"," ","DH"," "," ","DH-DIV HUM( 2015-BA)","","","","","3.00","3.00","3.00","12.0000"," ","School of Hawaiian Knowledge","Williams Ronald"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201530","Spring 2015","UG","FDM","200","Culture, Gender, & Appearance","3","A"," "," "," "," "," ","DS"," "," ","DS-FDM( 2015-BA)","","","","","3.00","3.00","3.00","12.0000"," ","Coll of Trop Ag & Human Res","Hoo Audrey"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201510","Fall 2014","UG","CHEM","161L","General Chemistry Lab I","1","A-"," "," "," "," "," ","DY"," "," ","DY-DIV-LAB SCI( 2015-BA)","","","","","1.00","1.00","1.00","3.7000"," ","Colleges of Arts & Sciences","Hemscheidt Thomas"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201510","Fall 2014","UG","MATH","253A","Accelerated Calculus III","4","A"," "," "," "," "," "," ","NI"," ","","","","","","4.00","4.00","4.00","16.0000"," ","Colleges of Arts & Sciences","Chyba Monique"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201510","Fall 2014","UG","PHYS","170L","General Physics I Laboratory","1","A"," "," "," "," "," ","DY"," "," ","","","","","","1.00","1.00","1.00","4.0000"," ","Colleges of Arts & Sciences","Shukla Anirvan"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201510","Fall 2014","UG","CHEM","161","General Chemistry I","3","A"," "," "," "," "," ","DP"," "," ","","","","","","3.00","3.00","3.00","12.0000"," ","Colleges of Arts & Sciences","Margosiak Stephen"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201510","Fall 2014","UG","PHYS","170A","General Physics I","4","B"," "," "," "," "," ","DP"," "," ","","","","","","4.00","4.00","4.00","12.0000"," ","Colleges of Arts & Sciences","Morse Robert"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201430","Spring 2014","UG","MATH","241","Calculus I","4","CR"," "," "," "," ","FS"," ","NI"," ","FS-SYMBOLIC REASON( 2015-BA)","","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","Advanced Placement Exam (CB)"," "," ","Calculus BC"," ","5","O"
"Manoa","201430","Spring 2014","UG","MATH","242","Calculus II","4","CR"," "," "," "," "," "," ","NI"," ","","","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","Advanced Placement Exam (CB)"," "," "," "," "," ","O"
"Manoa","201430","Spring 2014","UG","ENG","DLNI","Diversification: Literatures","3","CR"," "," "," "," "," ","DL","NI"," ","","","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","Advanced Placement Exam (CB)"," "," ","Eng Lit/Comp"," ","5","O"
"Manoa","201330","Spring 2013","UG","ENG","100","Composition I","3","CR"," "," "," "," ","FW"," "," "," ","FW-WRITTEN COMM( 2015-BA)","","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","Advanced Placement Exam (CB)"," "," ","Eng Lang/Comp"," ","4","O"
"Manoa","201330","Spring 2013","UG","ECON","131","Principles of Macroeconomics","3","CR"," "," "," "," "," ","DS"," "," ","DS-ECON( 2015-BA)","","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","Advanced Placement Exam (CB)"," "," ","Econ-Mac"," ","4","O"
"Manoa","201330","Spring 2013","UG","CHN","102","Elementary Mandarin","4","CR"," "," "," "," "," "," "," "," ","HSL 102( 2015-BA)","","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","Advanced Placement Exam (CB)"," "," ","Chinese Lang"," ","5","O"
"Manoa","201330","Spring 2013","UG","CHN","201","Intermediate Mandarin","4","CR"," "," "," "," "," "," ","NI"," ","HSL 201( 2015-BA)","","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","Advanced Placement Exam (CB)"," "," "," "," "," ","O"
"Manoa","201330","Spring 2013","UG","CHN","202","Intermediate Mandarin","4","CR"," "," "," "," "," "," ","NI"," ","HSL 202( 2015-BA)","","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","Advanced Placement Exam (CB)"," "," "," "," "," ","O"
"Manoa","201330","Spring 2013","UG","CHEM","151","Elementary Survey of Chemistry","3","CR"," "," "," "," "," ","DP"," "," ","DP-DIV-PHYS SCI( 2015-BA)","","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","Advanced Placement Exam (CB)"," "," ","Chemistry"," ","3","O"
"Manoa","201230","Spring 2012","UG","HIST","DH","Diversification: Humanities","3","CR"," "," "," "," "," ","DH"," "," ","","","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","Advanced Placement Exam (CB)"," "," ","US History"," ","3","O"




